productname                                        ListPrice             ProductSubCategory                                 ProductCategory                                    PriceRank            CategoryPriceRank
ML Mountain Frame-W - Silver, 38                   364.09                Mountain Frames                                    Components                                         138                  1
ML Mountain Frame-W - Silver, 40                   364.09                Mountain Frames                                    Components                                         139                  1
ML Mountain Frame-W - Silver, 42                   364.09                Mountain Frames                                    Components                                         140                  1
ML Mountain Frame-W - Silver, 46                   364.09                Mountain Frames                                    Components                                         141                  1
ML Mountain Front Wheel                            209.025               Wheels                                             Components                                         189                  1
ML Mountain Handlebars                             61.92                 Handlebars                                         Components                                         227                  1
ML Mountain Pedal                                  62.09                 Pedals                                             Components                                         225                  1
ML Mountain Rear Wheel                             236.025               Wheels                                             Components                                         186                  1
ML Mountain Seat/Saddle                            39.14                 Saddles                                            Components                                         255                  1
ML Mountain Tire                                   29.99                 Tires and Tubes                                    Accessories                                        266                  1
ML Road Frame - Red, 44                            594.83                Road Frames                                        Components                                         113                  1
ML Road Frame - Red, 48                            594.83                Road Frames                                        Components                                         114                  1
ML Road Frame - Red, 52                            594.83                Road Frames                                        Components                                         115                  1
ML Road Frame - Red, 58                            594.83                Road Frames                                        Components                                         116                  1
ML Road Frame - Red, 60                            594.83                Road Frames                                        Components                                         117                  1
ML Road Frame-W - Yellow, 38                       594.83                Road Frames                                        Components                                         118                  1
ML Road Frame-W - Yellow, 40                       594.83                Road Frames                                        Components                                         119                  1
ML Road Frame-W - Yellow, 42                       594.83                Road Frames                                        Components                                         120                  1
ML Road Frame-W - Yellow, 44                       594.83                Road Frames                                        Components                                         121                  1
ML Road Frame-W - Yellow, 48                       594.83                Road Frames                                        Components                                         122                  1
ML Road Front Wheel                                248.385               Wheels                                             Components                                         184                  1
ML Road Handlebars                                 61.92                 Handlebars                                         Components                                         228                  1
ML Road Pedal                                      62.09                 Pedals                                             Components                                         226                  1
ML Road Rear Wheel                                 275.385               Wheels                                             Components                                         172                  1
ML Road Seat/Saddle                                39.14                 Saddles                                            Components                                         253                  1
ML Road Tire                                       24.99                 Tires and Tubes                                    Accessories                                        273                  1
ML Touring Seat/Saddle                             39.14                 Saddles                                            Components                                         254                  1
Mountain Bike Socks, L                             9.50                  Socks                                              Clothing                                           285                  1
Mountain Bike Socks, M                             9.50                  Socks                                              Clothing                                           284                  1
Mountain Bottle Cage                               9.99                  Bottles and Cages                                  Accessories                                        283                  1
Mountain Pump                                      24.99                 Pumps                                              Accessories                                        272                  1
Mountain Tire Tube                                 4.99                  Tires and Tubes                                    Accessories                                        293                  1
Mountain-100 Black, 38                             3374.99               Mountain Bikes                                     Bikes                                              10                   1
Mountain-100 Black, 42                             3374.99               Mountain Bikes                                     Bikes                                              11                   1
Mountain-100 Black, 44                             3374.99               Mountain Bikes                                     Bikes                                              12                   1
Mountain-100 Black, 48                             3374.99               Mountain Bikes                                     Bikes                                              13                   1
Mountain-100 Silver, 38                            3399.99               Mountain Bikes                                     Bikes                                              6                    1
Mountain-100 Silver, 42                            3399.99               Mountain Bikes                                     Bikes                                              7                    1
Mountain-100 Silver, 44                            3399.99               Mountain Bikes                                     Bikes                                              8                    1
Mountain-100 Silver, 48                            3399.99               Mountain Bikes                                     Bikes                                              9                    1
Mountain-200 Black, 38                             2294.99               Mountain Bikes                                     Bikes                                              33                   1
Mountain-200 Black, 42                             2294.99               Mountain Bikes                                     Bikes                                              34                   1
Mountain-200 Black, 46                             2294.99               Mountain Bikes                                     Bikes                                              35                   1
Mountain-200 Silver, 38                            2319.99               Mountain Bikes                                     Bikes                                              30                   1
Mountain-200 Silver, 42                            2319.99               Mountain Bikes                                     Bikes                                              31                   1
Mountain-200 Silver, 46                            2319.99               Mountain Bikes                                     Bikes                                              32                   1
Mountain-300 Black, 38                             1079.99               Mountain Bikes                                     Bikes                                              75                   1
Mountain-300 Black, 40                             1079.99               Mountain Bikes                                     Bikes                                              76                   1
Mountain-300 Black, 44                             1079.99               Mountain Bikes                                     Bikes                                              77                   1
Mountain-300 Black, 48                             1079.99               Mountain Bikes                                     Bikes                                              78                   1
Mountain-400-W Silver, 38                          769.49                Mountain Bikes                                     Bikes                                              99                   1
Mountain-400-W Silver, 40                          769.49                Mountain Bikes                                     Bikes                                              100                  1
Mountain-400-W Silver, 42                          769.49                Mountain Bikes                                     Bikes                                              101                  1
Mountain-400-W Silver, 46                          769.49                Mountain Bikes                                     Bikes                                              102                  1
Mountain-500 Black, 40                             539.99                Mountain Bikes                                     Bikes                                              128                  1
Mountain-500 Black, 42                             539.99                Mountain Bikes                                     Bikes                                              129                  1
Mountain-500 Black, 44                             539.99                Mountain Bikes                                     Bikes                                              130                  1
Mountain-500 Black, 48                             539.99                Mountain Bikes                                     Bikes                                              131                  1
Mountain-500 Black, 52                             539.99                Mountain Bikes                                     Bikes                                              132                  1
Mountain-500 Silver, 40                            564.99                Mountain Bikes                                     Bikes                                              123                  1
Mountain-500 Silver, 42                            564.99                Mountain Bikes                                     Bikes                                              124                  1
Mountain-500 Silver, 44                            564.99                Mountain Bikes                                     Bikes                                              125                  1
Mountain-500 Silver, 48                            564.99                Mountain Bikes                                     Bikes                                              126                  1
Mountain-500 Silver, 52                            564.99                Mountain Bikes                                     Bikes                                              127                  1
Patch Kit/8 Patches                                2.29                  Tires and Tubes                                    Accessories                                        295                  1
Racing Socks, L                                    8.99                  Socks                                              Clothing                                           289                  1
Racing Socks, M                                    8.99                  Socks                                              Clothing                                           288                  1
Rear Brakes                                        106.50                Brakes                                             Components                                         202                  1
Rear Derailleur                                    121.46                Derailleurs                                        Components                                         197                  1
Road Bottle Cage                                   8.99                  Bottles and Cages                                  Accessories                                        287                  1
Road Tire Tube                                     3.99                  Tires and Tubes                                    Accessories                                        294                  1
Road-150 Red, 44                                   3578.27               Road Bikes                                         Bikes                                              2                    1
Road-150 Red, 48                                   3578.27               Road Bikes                                         Bikes                                              3                    1
Road-150 Red, 52                                   3578.27               Road Bikes                                         Bikes                                              4                    1
Road-150 Red, 56                                   3578.27               Road Bikes                                         Bikes                                              5                    1
Road-150 Red, 62                                   3578.27               Road Bikes                                         Bikes                                              1                    1
Road-250 Black, 44                                 2443.35               Road Bikes                                         Bikes                                              18                   1
Road-250 Black, 48                                 2443.35               Road Bikes                                         Bikes                                              19                   1
Road-250 Black, 52                                 2443.35               Road Bikes                                         Bikes                                              20                   1
Road-250 Black, 58                                 2443.35               Road Bikes                                         Bikes                                              21                   1
Road-250 Red, 44                                   2443.35               Road Bikes                                         Bikes                                              14                   1
Road-250 Red, 48                                   2443.35               Road Bikes                                         Bikes                                              15                   1
Road-250 Red, 52                                   2443.35               Road Bikes                                         Bikes                                              16                   1
Road-250 Red, 58                                   2443.35               Road Bikes                                         Bikes                                              17                   1
Road-350-W Yellow, 40                              1700.99               Road Bikes                                         Bikes                                              36                   1
Road-350-W Yellow, 42                              1700.99               Road Bikes                                         Bikes                                              37                   1
Road-350-W Yellow, 44                              1700.99               Road Bikes                                         Bikes                                              38                   1
Road-350-W Yellow, 48                              1700.99               Road Bikes                                         Bikes                                              39                   1
Road-450 Red, 44                                   1457.99               Road Bikes                                         Bikes                                              42                   1
Road-450 Red, 48                                   1457.99               Road Bikes                                         Bikes                                              43                   1
Road-450 Red, 52                                   1457.99               Road Bikes                                         Bikes                                              44                   1
Road-450 Red, 58                                   1457.99               Road Bikes                                         Bikes                                              40                   1
Road-450 Red, 60                                   1457.99               Road Bikes                                         Bikes                                              41                   1
Road-550-W Yellow, 38                              1120.49               Road Bikes                                         Bikes                                              70                   1
Road-550-W Yellow, 40                              1120.49               Road Bikes                                         Bikes                                              71                   1
Road-550-W Yellow, 42                              1120.49               Road Bikes                                         Bikes                                              72                   1
Road-550-W Yellow, 44                              1120.49               Road Bikes                                         Bikes                                              73                   1
Road-550-W Yellow, 48                              1120.49               Road Bikes                                         Bikes                                              74                   1
Road-650 Black, 44                                 782.99                Road Bikes                                         Bikes                                              96                   1
Road-650 Black, 48                                 782.99                Road Bikes                                         Bikes                                              97                   1
Road-650 Black, 52                                 782.99                Road Bikes                                         Bikes                                              98                   1
Road-650 Black, 58                                 782.99                Road Bikes                                         Bikes                                              93                   1
Road-650 Black, 60                                 782.99                Road Bikes                                         Bikes                                              94                   1
Road-650 Black, 62                                 782.99                Road Bikes                                         Bikes                                              95                   1
Road-650 Red, 44                                   782.99                Road Bikes                                         Bikes                                              90                   1
Road-650 Red, 48                                   782.99                Road Bikes                                         Bikes                                              91                   1
Road-650 Red, 52                                   782.99                Road Bikes                                         Bikes                                              92                   1
Road-650 Red, 58                                   782.99                Road Bikes                                         Bikes                                              87                   1
Road-650 Red, 60                                   782.99                Road Bikes                                         Bikes                                              88                   1
Road-650 Red, 62                                   782.99                Road Bikes                                         Bikes                                              89                   1
Road-750 Black, 44                                 539.99                Road Bikes                                         Bikes                                              133                  1
Road-750 Black, 48                                 539.99                Road Bikes                                         Bikes                                              134                  1
Road-750 Black, 52                                 539.99                Road Bikes                                         Bikes                                              135                  1
Road-750 Black, 58                                 539.99                Road Bikes                                         Bikes                                              136                  1
Short-Sleeve Classic Jersey, L                     53.99                 Jerseys                                            Clothing                                           237                  1
Short-Sleeve Classic Jersey, M                     53.99                 Jerseys                                            Clothing                                           236                  1
Short-Sleeve Classic Jersey, S                     53.99                 Jerseys                                            Clothing                                           235                  1
Short-Sleeve Classic Jersey, XL                    53.99                 Jerseys                                            Clothing                                           238                  1
Sport-100 Helmet, Black                            34.99                 Helmets                                            Accessories                                        263                  1
Sport-100 Helmet, Blue                             34.99                 Helmets                                            Accessories                                        261                  1
Sport-100 Helmet, Red                              34.99                 Helmets                                            Accessories                                        262                  1
Taillights - Battery-Powered                       13.99                 Lights                                             Accessories                                        282                  1
Touring Front Wheel                                218.01                Wheels                                             Components                                         188                  1
Touring Pedal                                      80.99                 Pedals                                             Components                                         215                  1
Touring Rear Wheel                                 245.01                Wheels                                             Components                                         185                  1
Touring Tire                                       28.99                 Tires and Tubes                                    Accessories                                        267                  1
Touring Tire Tube                                  4.99                  Tires and Tubes                                    Accessories                                        292                  1
Touring-1000 Blue, 46                              2384.07               Touring Bikes                                      Bikes                                              26                   1
Touring-1000 Blue, 50                              2384.07               Touring Bikes                                      Bikes                                              27                   1
Touring-1000 Blue, 54                              2384.07               Touring Bikes                                      Bikes                                              28                   1
Touring-1000 Blue, 60                              2384.07               Touring Bikes                                      Bikes                                              29                   1
Touring-1000 Yellow, 46                            2384.07               Touring Bikes                                      Bikes                                              22                   1
Touring-1000 Yellow, 50                            2384.07               Touring Bikes                                      Bikes                                              23                   1
Touring-1000 Yellow, 54                            2384.07               Touring Bikes                                      Bikes                                              24                   1
Touring-1000 Yellow, 60                            2384.07               Touring Bikes                                      Bikes                                              25                   1
Touring-2000 Blue, 46                              1214.85               Touring Bikes                                      Bikes                                              66                   1
Touring-2000 Blue, 50                              1214.85               Touring Bikes                                      Bikes                                              67                   1
Touring-2000 Blue, 54                              1214.85               Touring Bikes                                      Bikes                                              68                   1
Touring-2000 Blue, 60                              1214.85               Touring Bikes                                      Bikes                                              69                   1
Touring-3000 Blue, 44                              742.35                Touring Bikes                                      Bikes                                              103                  1
Touring-3000 Blue, 50                              742.35                Touring Bikes                                      Bikes                                              104                  1
Touring-3000 Blue, 54                              742.35                Touring Bikes                                      Bikes                                              105                  1
Touring-3000 Blue, 58                              742.35                Touring Bikes                                      Bikes                                              106                  1
Touring-3000 Blue, 62                              742.35                Touring Bikes                                      Bikes                                              107                  1
Touring-3000 Yellow, 44                            742.35                Touring Bikes                                      Bikes                                              108                  1
Touring-3000 Yellow, 50                            742.35                Touring Bikes                                      Bikes                                              109                  1
Touring-3000 Yellow, 54                            742.35                Touring Bikes                                      Bikes                                              110                  1
Touring-3000 Yellow, 58                            742.35                Touring Bikes                                      Bikes                                              111                  1
Touring-3000 Yellow, 62                            742.35                Touring Bikes                                      Bikes                                              112                  1
Touring-Panniers, Large                            125.00                Panniers                                           Accessories                                        194                  1
Water Bottle - 30 oz.                              4.99                  Bottles and Cages                                  Accessories                                        291                  1
Women's Mountain Shorts, L                         69.99                 Shorts                                             Clothing                                           221                  1
Women's Mountain Shorts, M                         69.99                 Shorts                                             Clothing                                           220                  1
Women's Mountain Shorts, S                         69.99                 Shorts                                             Clothing                                           219                  1
Women's Tights, L                                  74.99                 Tights                                             Clothing                                           218                  1
Women's Tights, M                                  74.99                 Tights                                             Clothing                                           217                  1
Women's Tights, S                                  74.99                 Tights                                             Clothing                                           216                  1

(295 rows affected)


Completion time: 2022-09-12T13:05:40.2660855+05:30
